ID,NAME,GIS,IsEqual
37,Алтайский край,Алтайский край,true
21,Амурская область,Амурская область,true
59,Архангельская область,Архангельская область,true
71,Астраханская область,Астраханская область,true
60,Белгородская область,Белгородская область,true
72,Брянская область,Брянская область,true
73,Владимирская область,Владимирская область,true
74,Волгоградская область,Волгоградская область,true
56,Вологодская область,Вологодская область,true
75,Воронежская область,Воронежская область,true
12,Забайкальский край,RECORD_NOT_FOUND,false
77,Ивановская область,Ивановская область,true
6,Иркутская область,Иркутская область,true
49,Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,true
57,Калужская область,RECORD_NOT_FOUND,false
8,Камчатский край,Камчатский край,true
79,Карачаево-Черкесская республика,Карачаево-Черкесская Республика,false
36,Кемеровская область,Кемеровская область — Кузбасс,false
80,Кировская область,Кировская область,true
81,Костромская область,Костромская область,true
51,Краснодарский край,Краснодарский край,true
23,Красноярский край,Красноярский край,true
82,Курганская область,Курганская область,true
83,Курская область,Курская область,true
69,Липецкая область,RECORD_NOT_FOUND,false
84,Магаданская область,Магаданская область,true
88,Ненецкий АО,RECORD_NOT_FOUND,false
89,Нижегородская область,Нижегородская область,true
53,Новгородская область,Новгородская область,true
50,Новосибирская область,Новосибирская область,true
54,Омская область,Омская область,true
70,Оренбургская область,Оренбургская область,true
90,Орловская область,Орловская область,true
91,Пензенская область,Пензенская область,true
17,Пермский край,Пермский край,true
92,Псковская область,RECORD_NOT_FOUND,false
44,Республика Адыгея,Республика Адыгея,true
46,Республика Алтай,Республика Алтай,true
46,Республика Алтай,Алтайский край,false
45,Республика Башкортостан,Республика Башкортостан,true
9,Республика Бурятия,Республика Бурятия,true
47,Республика Дагестан,Республика Дагестан,true
48,Республика Ингушетия,Республика Ингушетия,true
78,Республика Калмыкия,Республика Калмыкия,true
38,Республика Карелия,Республика Карелия,true
41,Республика Коми,Республика Коми,true
85,Республика Марий Эл,Республика Марий Эл,true
86,Республика Мордовия,Республика Мордовия,true
1,Республика Саха (Якутия),Республика Саха (Якутия),true
95,Республика Северная Осетия — Алания ,Республика Северная Осетия — Алания,false
58,Республика Татарстан,Республика Татарстан,true
99,Республика Тыва,Республика Тыва,true
15,Республика Хакасия,Республика Хакасия,true
93,Ростовская область,Ростовская область,true
94,Рязанская область,Рязанская область,true
61,Самарская область,Самарская область,true
55,Саратовская область,Саратовская область,true
43,Свердловская область,RECORD_NOT_FOUND,false
96,Смоленская область,Смоленская область,true
7,Ставропольский край,Ставропольский край,true
97,Тамбовская область,Тамбовская область,true
98,Тверская область,Тверская область,true
11,Томская область,Томская область,true
40,Тульская область,Тульская область,true
19,Тюменская область,Тюменская область,true
42,Удмуртская Республика,Удмуртская Республика,true
100,Ульяновская область,Ульяновская область,true
16,Хабаровский край,Хабаровский край,true
52,Челябинская область,RECORD_NOT_FOUND,false
101,Чеченская Республика,Чеченская Республика,true
102,Чувашская Республика,Чувашская Республика,true
18,Ямало-Ненецкий АО,RECORD_NOT_FOUND,false
104,Ярославская область,Ярославская область,true
